NODE_ID,ARS_ID,정류소명,정류소타입,X좌표(WGS84),Y좌표(WGS84),X좌표(GRS80TM),Y좌표(GRS80TM)
121900033,22445,함지박사거리,마을버스,126.9912671152,37.4930288433,955028.7279695676,1943874.44636828
121900034,22447,이수화학,마을버스,126.9933543313,37.4980301028,955216.2228075438,1944428.309432316
121900286,22448,예비군훈련장,마을버스,127.0807710572,37.455543466,962922.2779441188,1939676.7093621527
121900284,22449,더케이호텔정문,마을버스,127.0341150869,37.468301508,958802.877548262,1941111.506990419
121900035,22450,방배역1번출구,마을버스,126.9984655932,37.4814094121,955658.200119507,1942581.9310582608
121900036,22451,대림약국,마을버스,127.0208116389,37.4904459771,957638.980079202,1943574.1889935937
121900037,22452,반포래미안아이파크아파트,마을버스,127.0121585657,37.5009627535,956880.0769560492,1944744.8871803368
121900040,22457,서래초교,마을버스,126.9889993086,37.4952967316,954829.621581974,1944127.1401282367
121900041,22458,방배성당앞,마을버스,126.9936238794,37.4936363379,955237.4266023348,1943940.7206889952
121900224,22459,현대아파트.한국상담대학원대학교,마을버스,127.0235051656,37.4868903084,957875.0969439716,1943178.5022291448
121900042,22460,한국회관.ROTC중앙회,마을버스,126.9954070281,37.4987042254,955398.068405016,1944502.124382652
121900287,22461,신흥마을입구,마을버스,127.0816843202,37.4586102133,963004.5604648018,1940016.5832863816
121900043,22462,예술공원,마을버스,127.0325353274,37.4699888265,958664.111393921,1941299.3953947972
121900044,22464,사당역13번출구,마을버스,126.9826432124,37.4771120126,954256.6779984896,1942112.7317708556
121900046,22466,서초구립반포도서관.반포리체,마을버스,127.0124970198,37.5026207465,956910.9456682956,1944928.6760853247
121900048,22471,장자터빌딩,마을버스,126.9903543589,37.485106263,954943.2825925902,1942995.9233698891
121900050,22473,동부센트레빌1,마을버스,126.9874958912,37.4976529669,954698.1480630426,1944389.2722208933
121000984,22478,kt연구소,일반차로,127.0309238538,37.4717085715,958522.5651711886,1941490.8976808668
121900054,22479,상문고등학교,마을버스,127.0046089193,37.4821455353,956201.7788400186,1942660.723623424
121900058,22486,백산빌딩,마을버스,126.9910358078,37.4791373946,954999.9488488586,1942333.390594456
121900059,22488,방배열린문화센터.가야치과병원,마을버스,126.9923780416,37.4893578225,955124.7367417328,1943466.6398754248
121900060,22489,방배중학교,마을버스,126.9981113214,37.495387339,955635.1454140508,1944132.858624757
121900062,22491,반포래미안,마을버스,127.0003970105,37.5045840073,955842.608277671,1945152.0965648603
121900066,22496,반포래미안아이파크아파트후문,마을버스,127.0145622236,37.5020978707,957093.1853029352,1944869.722728456
121900067,22497,반포고교,마을버스,127.0158854643,37.5017030173,957209.9191272506,1944825.313762081
121900070,22500,교총회관,마을버스,127.0277462709,37.4668240829,958238.8727392352,1940950.401822969
121900072,22502,동문빌라,마을버스,126.9918254753,37.4829808269,955072.0691026286,1942759.4170564609
121900073,22503,효성빌라,마을버스,126.9983320021,37.4966719096,955655.4123727768,1944275.2696217173
121900310,22504,서초포레스타3단지정문,마을버스,127.0593384984,37.4554282126,961026.656077191,1939672.573405064
121900074,22505,호남고속터미널,마을버스,127.0032236261,37.5054364064,956092.9394534136,1945245.3423974516
121900076,22508,방배빌딩.방배아트힐아파트정문,마을버스,127.0064743162,37.4782806055,956364.454808269,1942231.0692643663
121900079,22511,반포리체,마을버스,127.0142060247,37.5025241354,957061.9455547198,1944917.176579626
121900308,22512,언남초등학교,마을버스,127.061421935,37.4543079703,961210.343470426,1939547.4309245087
121900080,22513,서초2동주민센터,마을버스,127.0253409803,37.4917135401,958040.092622056,1943712.7882763543
121900274,22515,삽준네마을,마을버스,127.0268099021,37.4692693783,958157.4326556775,1941222.105896966
121900250,22518,서래마을.서래글로벌빌리지센터,마을버스,126.9984381123,37.4978969161,955665.516198013,1944411.12639158
121900251,22520,경부고속터미널,마을버스,127.0068477606,37.5065337938,956413.8948936556,1945365.405975528
121900309,22521,서초더샵포레,마을버스,127.0643010736,37.4544989777,961465.0856797902,1939567.440286232
121900086,22525,반포써밋아파트,마을버스,127.0169971,37.5009216068,957307.7304547384,1944738.1163436372
121900324,22528,양재시민의숲매헌역입구,마을버스,127.0375190241,37.4691694309,959104.354368019,1941206.313480901
121900087,22531,서래마을입구,마을버스,126.9984335615,37.4991809877,955665.8731118102,1944553.58822314
121900089,22535,임광아파트후문,마을버스,127.0030267509,37.4758189221,956058.191660259,1941959.5651850265
121900090,22536,방현초교,마을버스,126.9887116384,37.4758333144,954792.4657069783,1941967.9380604008
121900091,22537,세탁소,마을버스,126.9874848398,37.4825486576,954688.0479654858,1942713.550825012
121900092,22538,현대4차아파트,마을버스,127.0179934519,37.5005700292,957395.5980421404,1944698.6595272413
121900093,22540,서초1동주민센터,마을버스,127.01846691,37.4895945167,957431.2178062602,1943480.782715808
