기준_년분기_코드,상권_구분_코드,상권_구분_코드_명,상권배후지_코드,상권배후지_코드_명,총_직장_인구_수,총_상주인구_수,총_유동인구_수,순수_유동인구_수,상권배후지_유형
20253,A,골목상권,3110828,노량진역 6번,3934,14989,5299636,5280713,발달/번화가형 (순수 유동인구 중심)
20253,A,골목상권,3110827,NH농협은행 상도동지점,1456,13301,2480944,2466187,주거지/동네형
20253,A,골목상권,3110826,장승배기역 4번,1456,16605,3246889,3228828,주거지/동네형
20253,A,골목상권,3110825,신대방삼거리역 1번,2629,30667,6957288,6923992,주거지/동네형
20253,A,골목상권,3110824,대방역 3번,1886,11118,2205675,2192671,오피스/직장형
20253,A,골목상권,3110823,신대방삼거리역 3번,11061,20986,4772118,4740071,오피스/직장형
20253,A,골목상권,3110822,신대방삼거리역 4번(대림초등학교),3755,14022,2717167,2699390,오피스/직장형
20253,A,골목상권,3110821,보라매역 2번,5973,16936,4173209,4150300,오피스/직장형
20253,A,골목상권,3110820,성남고등학교,2212,14380,2618152,2601560,주거지/동네형
20253,A,골목상권,3110819,신대방역 4번,4463,20788,5622693,5597442,주거지/동네형
20253,A,골목상권,3110818,신대방역 3번,2886,11725,3077530,3062919,오피스/직장형
20253,A,골목상권,3110817,대방역 4번,2652,11772,3149709,3135285,오피스/직장형
20253,A,골목상권,3110816,대방역 6번,2136,8679,2918017,2907202,오피스/직장형
20253,A,골목상권,3110815,공군호텔,3630,19634,5801085,5777821,주거지/동네형
20253,A,골목상권,3110814,서울지방병무청,3119,22982,4560218,4534117,주거지/동네형
20253,A,골목상권,3110813,보라매역 6번,3989,16125,4974381,4954267,오피스/직장형
20253,A,골목상권,3110812,신길6동주민센터,2517,10120,3527727,3515090,오피스/직장형
20253,A,골목상권,3110811,보라매역 4번,2806,9257,4108105,4096042,오피스/직장형
