자치구,기초지자체명,현지인방문자수,자치구내 현지인방문자 비율,외지인방문자수,자치구내 외지인방문자 비율,외국인 방문자수
송파구,거여1동,3444007.0,1.4,956865.0,0.5,9322.0
송파구,거여2동,4487973.0,1.9,1272530.0,0.7,17848.0
송파구,마천1동,2357170.0,1.0,848554.0,0.5,10819.0
송파구,마천2동,4633055.0,1.9,1483990.0,0.8,16948.0
송파구,문정1동,6962032.0,2.9,2750598.0,1.5,114379.0
송파구,문정2동,15752194.0,6.5,12299256.0,6.9,184883.0
송파구,방이1동,9050671.0,3.7,4434346.0,2.5,45238.0
송파구,방이2동,15655944.0,6.5,13828346.0,7.8,355844.0
송파구,삼전동,5456192.0,2.3,2155528.0,1.2,55176.0
송파구,석촌동,10200911.0,4.2,5573827.0,3.1,194784.0
송파구,송파1동,12704318.0,5.2,8392122.0,4.7,168871.0
송파구,송파2동,5350968.0,2.2,1408704.0,0.8,30308.0
송파구,오금동,11131897.0,4.6,3667632.0,2.1,47146.0
송파구,오륜동,5686842.0,2.3,6795831.0,3.8,268923.0
송파구,위례동,6288653.0,2.6,4007896.0,2.3,32741.0
송파구,잠실2동,9833488.0,4.1,8676510.0,4.9,259694.0
송파구,잠실3동,16780432.0,6.9,21870331.0,12.3,901091.0
송파구,잠실4동,6096632.0,2.5,3019135.0,1.7,63553.0
송파구,잠실6동,21739158.0,9.0,29604676.0,16.6,1292193.0
송파구,잠실7동,4278928.0,1.8,4691418.0,2.6,48796.0
송파구,잠실본동,12026410.0,5.0,8286520.0,4.7,159133.0
송파구,장지동,6915895.0,2.9,2282668.0,1.3,51989.0
송파구,풍납1동,3104902.0,1.3,2178939.0,1.2,23611.0
송파구,풍납2동,8680710.0,3.6,11241094.0,6.3,80474.0
양천구,목1동,10948242.0,12.3,7572159.0,15.8,118207.0
양천구,목2동,5997022.0,6.7,2687632.0,5.6,109774.0
양천구,목3동,2678050.0,3.0,2034344.0,4.3,31656.0
양천구,목4동,4401758.0,4.9,2202000.0,4.6,24285.0
양천구,목5동,9508790.0,10.7,5023616.0,10.5,47810.0
양천구,신월1동,3339984.0,3.8,3163034.0,6.6,21271.0
양천구,신월2동,2378313.0,2.7,988078.0,2.1,17617.0
양천구,신월3동,2009497.0,2.3,1775088.0,3.7,19839.0
양천구,신월4동,1963444.0,2.2,712960.0,1.5,6330.0
양천구,신월5동,1126618.0,1.3,1407528.0,2.9,21893.0
양천구,신월6동,2141475.0,2.4,835692.0,1.7,8589.0
양천구,신월7동,3575470.0,4.0,2199684.0,4.6,19068.0
양천구,신정1동,4331316.0,4.9,1441503.0,3.0,17945.0
양천구,신정2동,3387370.0,3.8,1598104.0,3.3,30627.0
양천구,신정3동,10852034.0,12.2,4552124.0,9.5,50964.0
양천구,신정4동,8466507.0,9.5,4938868.0,10.3,64947.0
양천구,신정6동,5754567.0,6.5,2549236.0,5.3,27163.0
양천구,신정7동,6157123.0,6.9,2180941.0,4.6,30624.0
영등포구,당산1동,7709422.0,5.7,5830482.0,4.2,121582.0
영등포구,당산2동,10058167.0,7.4,8915672.0,6.4,249449.0
영등포구,대림1동,3388392.0,2.5,2580662.0,1.8,71454.0
영등포구,대림2동,3417260.0,2.5,4381741.0,3.1,311029.0
영등포구,대림3동,4533256.0,3.3,4956074.0,3.5,200031.0
영등포구,도림동,4647349.0,3.4,1984280.0,1.4,79418.0
영등포구,문래동,10578732.0,7.8,10162509.0,7.3,132104.0
영등포구,신길1동,5108204.0,3.8,4174387.0,3.0,120797.0
영등포구,신길3동,2687626.0,2.0,1062824.0,0.8,56528.0
영등포구,신길4동,2038883.0,1.5,770374.0,0.6,17121.0
영등포구,신길5동,1783985.0,1.3,646814.0,0.5,33449.0
영등포구,신길6동,3905072.0,2.9,2423774.0,1.7,48425.0
영등포구,신길7동,2739772.0,2.0,1795612.0,1.3,52977.0
영등포구,양평1동,3957534.0,2.9,2732849.0,2.0,179552.0
영등포구,양평2동,6311280.0,4.6,5721124.0,4.1,219865.0
영등포구,여의동,33489950.0,24.7,46464516.0,33.2,1959447.0
영등포구,영등포동,23201328.0,17.1,26776074.0,19.1,844484.0
영등포구,영등포본동,6172876.0,4.5,8595069.0,6.1,197499.0
용산구,남영동,5952390.0,7.1,23159276.0,15.8,3072453.0
용산구,보광동,2180241.0,2.6,2152672.0,1.5,77062.0
용산구,서빙고동,4746644.0,5.7,7745598.0,5.3,464455.0
용산구,용문동,2022212.0,2.4,998879.0,0.7,73370.0
용산구,용산2가동,3838611.0,4.6,4810446.0,3.3,522634.0
용산구,원효로1동,6737262.0,8.1,5309241.0,3.6,253819.0
용산구,원효로2동,4211008.0,5.0,2511380.0,1.7,109753.0
용산구,이촌1동,6138818.0,7.3,5682530.0,3.9,164162.0
용산구,이촌2동,1649109.0,2.0,3126798.0,2.1,126485.0
용산구,이태원1동,4238885.0,5.1,9386002.0,6.4,1303137.0
용산구,이태원2동,3548716.0,4.2,5651040.0,3.8,324103.0
용산구,청파동,6402046.0,7.7,7601657.0,5.2,565414.0
용산구,한강로동,17745504.0,21.2,43333885.0,29.5,1866108.0
용산구,한남동,8292378.0,9.9,20010168.0,13.6,1404075.0
용산구,효창동,2804812.0,3.4,1919250.0,1.3,53074.0
용산구,후암동,3027283.0,3.6,3395522.0,2.3,410688.0
은평구,갈현1동,4955842.0,5.7,2314137.0,5.2,29181.0
은평구,갈현2동,4246865.0,4.9,1487976.0,3.4,26673.0
은평구,구산동,5334749.0,6.1,1650103.0,3.7,17327.0
은평구,녹번동,8558680.0,9.8,3885021.0,8.8,74593.0
은평구,대조동,11771154.0,13.5,7192066.0,16.3,59788.0
은평구,불광1동,6951210.0,8.0,2520010.0,5.7,66079.0
은평구,불광2동,4394848.0,5.0,1856494.0,4.2,33443.0
은평구,수색동,2326919.0,2.7,2030371.0,4.6,63859.0
은평구,신사1동,3191234.0,3.7,1302595.0,2.9,30333.0
은평구,신사2동,1742660.0,2.0,794742.0,1.8,62428.0
은평구,역촌동,7268622.0,8.3,2607752.0,5.9,43878.0
은평구,응암1동,5736812.0,6.6,2453686.0,5.5,52715.0
은평구,응암2동,2707187.0,3.1,908296.0,2.1,34369.0
은평구,응암3동,3851068.0,4.4,2278952.0,5.2,87998.0
은평구,증산동,1507716.0,1.7,1051743.0,2.4,25191.0
은평구,진관동,12720302.0,14.6,9892561.0,22.4,216232.0
종로구,가회동,2768678.0,3.5,6599579.0,3.4,1594232.0
종로구,교남동,1761648.0,2.2,3188294.0,1.6,254785.0
종로구,무악동,1224730.0,1.6,2185449.0,1.1,41969.0
종로구,부암동,2837958.0,3.6,3734014.0,1.9,330903.0
종로구,사직동,7773398.0,9.9,22132964.0,11.4,2289101.0
종로구,삼청동,1588632.0,2.0,6226734.0,3.2,1411156.0
종로구,숭인1동,2890755.0,3.7,2254836.0,1.2,63325.0
종로구,숭인2동,3457346.0,4.4,5508170.0,2.8,494694.0
종로구,이화동,8887298.0,11.3,28949424.0,15.0,358488.0
종로구,종로1.2.3.4가동,17425118.0,22.3,63849345.0,33.0,6646741.0
종로구,종로5.6가동,6218415.0,7.9,14474926.0,7.5,1534327.0
종로구,창신1동,3087021.0,3.9,7583692.0,3.9,735534.0
종로구,창신2동,2413383.0,3.1,910028.0,0.5,90083.0
종로구,창신3동,1311286.0,1.7,833634.0,0.4,20052.0
종로구,청운효자동,3857917.0,4.9,9086844.0,4.7,1424930.0
종로구,평창동,3351744.0,4.3,3611296.0,1.9,92508.0
종로구,혜화동,7448826.0,9.5,12177596.0,6.3,315509.0
중구,광희동,8060857.0,11.1,21138114.0,11.2,5040014.0
중구,다산동,5067198.0,7.0,4771606.0,2.5,168424.0
중구,동화동,2881648.0,4.0,1406478.0,0.7,68534.0
중구,명동,9371397.0,12.9,41150851.0,21.8,14275126.0
