,상세영업상태명,도로명전체주소,사업장명,문화체육업종명,좌표정보x(epsg5174),좌표정보y(epsg5174),지역구분명,지상층수,지하층수,객실수,주변환경명,건물용도명,시설면적,관광숙박업상세명
124,폐업,서울특별시 용산구 녹사평대로 140 (이태원동),크라운관광호텔,관광숙박업,199118.176847228,447688.4883026,일반주거지역,7.0,1.0,203.0,,호텔,2452.17,관광호텔업
125,폐업,서울특별시 중구 동호로 343 (오장동),서울 엔 호스텔,관광숙박업,200114.588886239,451412.287586053,일반상업지역,0.0,0.0,20.0,,,401.22,호스텔업
126,폐업,서울특별시 영등포구 국회대로68길 24  (여의도동),(주)래도호텔엔티마,관광숙박업,192866.856097244,447341.334688661,,0.0,0.0,0.0,,,0.0,
127,폐업,서울특별시 영등포구 국회대로68길 24  (여의도동),호텔 엔티마,관광숙박업,192866.856097244,447341.334688661,,0.0,0.0,0.0,,,0.0,
128,폐업,"서울특별시 영등포구 경인로108길 14 (영등포동1가, 레인보우 관광호텔)",R 호텔,관광숙박업,192151.220183716,446113.281907896,상업지역,13.0,3.0,92.0,기타,숙박시설,5827.26,관광호텔업
129,폐업,"서울특별시 종로구 난계로29길 55 (숭인동, 베니키아호텔동대문)",베니키아 프리미어 호텔 동대문,관광숙박업,201712.855210767,452371.734482943,상업지역,18.0,3.0,237.0,,,9928.87,관광호텔업
130,폐업,서울특별시 중구 퇴계로6길 3-6 (회현동1가),플로라호텔 남산씨티,관광숙박업,198043.49823516,450616.474794295,준주거지역,6.0,2.0,60.0,학교정화(상대),호텔,2574.87,관광호텔업
131,폐업,"서울특별시 종로구 청계천로 229, 7층 (종로5가)",미오하우스,관광숙박업,200199.528812856,451980.604036907,,7.0,0.0,10.0,,,400.25,호스텔업
132,폐업,서울특별시 용산구 우사단로14길 11 (이태원동),I.T.W호텔,관광숙박업,199602.998335774,448000.622353627,일반상업지역,7.0,2.0,71.0,기타,숙박시설,2796.53,관광호텔업
133,폐업,서울특별시 용산구 한강대로71길 24 (갈월동),호텔 엘르인,관광숙박업,197473.035834572,448684.316361498,일반상업지역,13.0,2.0,54.0,기타,숙박시설,290.65,관광호텔업
134,폐업,,서울,관광숙박업,,,,8.0,2.0,0.0,,,5358.27,
135,폐업,,(주)올림피아스위트,관광숙박업,197949.002174181,456478.436790904,,0.0,0.0,0.0,,,0.0,
136,폐업,서울특별시 종로구 율곡로 176  (원남동),비원관광호텔,관광숙박업,199775.901529928,452592.4422331,,13.0,2.0,0.0,,,0.0,
137,폐업,서울특별시 종로구 율곡로10길 12 (와룡동),Stay in GAM,관광숙박업,199119.675907849,452732.545380767,상업지역,5.0,1.0,15.0,학교정화(상대),근린생활시설,423.76,호스텔업
138,폐업,,전풍관광호텔,관광숙박업,,,일반상업지역,6.0,1.0,0.0,주택가주변,호텔,2303.0,
139,폐업,서울특별시 성북구 보문로 78 (보문동4가),브라운 관광호텔,관광숙박업,201810.388914346,453337.054032254,일반주거지역,6.0,1.0,50.0,,호텔,2695.67,
140,폐업,"서울특별시 종로구 율곡로10길 105, 5층 (봉익동, 디아망 쥬얼리)",24 게스트하우스 종로3가,관광숙박업,199243.960959498,452293.899531079,일반상업지역,5.0,0.0,16.0,,숙박시설,247.13,호스텔업
